PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
892,0,3,0,34.5,0,0,7.8292,2
893,1,3,1,47.0,1,0,7.0,0
894,0,2,0,62.0,0,0,9.6875,2
895,0,3,0,27.0,0,0,8.6625,0
896,1,3,1,22.0,1,1,12.2875,0
897,0,3,0,14.0,0,0,9.225,0
898,1,3,1,30.0,0,0,7.6292,2
899,0,2,0,26.0,1,1,29.0,0
900,1,3,1,18.0,0,0,7.2292,1
901,0,3,0,21.0,2,0,24.15,0
902,0,3,0,27.0,0,0,7.8958,0
903,0,1,0,46.0,0,0,26.0,0
904,1,1,1,23.0,1,0,82.2667,0
905,0,2,0,63.0,1,0,26.0,0
906,1,1,1,47.0,1,0,61.175,0
907,1,2,1,24.0,1,0,27.7208,1
908,0,2,0,35.0,0,0,12.35,2
909,0,3,0,21.0,0,0,7.225,1
910,1,3,1,27.0,1,0,7.925,0
911,1,3,1,45.0,0,0,7.225,1
912,0,1,0,55.0,1,0,59.4,1
913,0,3,0,9.0,0,1,3.1708,0
914,1,1,1,27.0,0,0,31.6833,0
915,0,1,0,21.0,0,1,61.3792,1
916,1,1,1,48.0,1,3,262.375,1
917,0,3,0,50.0,1,0,14.5,0
918,1,1,1,22.0,0,1,61.9792,1
919,0,3,0,22.5,0,0,7.225,1
920,0,1,0,41.0,0,0,30.5,0
921,0,3,0,27.0,2,0,21.6792,1
922,0,2,0,50.0,1,0,26.0,0
923,0,2,0,24.0,2,0,31.5,0
924,1,3,1,33.0,1,2,20.575,0
925,1,3,1,27.0,1,2,23.45,0
926,0,1,0,30.0,1,0,57.75,1
927,0,3,0,18.5,0,0,7.2292,1
928,1,3,1,27.0,0,0,8.05,0
929,1,3,1,21.0,0,0,8.6625,0
930,0,3,0,25.0,0,0,9.5,0
931,0,3,0,27.0,0,0,56.4958,0
932,0,3,0,39.0,0,1,13.4167,1
933,0,1,0,27.0,0,0,26.55,0
934,0,3,0,41.0,0,0,7.85,0
935,1,2,1,30.0,0,0,13.0,0
936,1,1,1,45.0,1,0,52.5542,0
937,0,3,0,25.0,0,0,7.925,0
938,0,1,0,45.0,0,0,29.7,1
939,0,3,0,27.0,0,0,7.75,2
940,1,1,1,60.0,0,0,76.2917,1
941,1,3,1,36.0,0,2,15.9,0
942,0,1,0,24.0,1,0,60.0,0
943,0,2,0,27.0,0,0,15.0333,1
944,1,2,1,20.0,2,1,23.0,0
945,1,1,1,28.0,3,2,263.0,0
946,0,2,0,27.0,0,0,15.5792,1
947,0,3,0,10.0,4,1,29.125,2
948,0,3,0,35.0,0,0,7.8958,0
949,0,3,0,25.0,0,0,7.65,0
950,0,3,0,27.0,1,0,16.1,0
951,1,1,1,36.0,0,0,262.375,1
952,0,3,0,17.0,0,0,7.8958,0
953,0,2,0,32.0,0,0,13.5,0
954,0,3,0,18.0,0,0,7.75,0
955,1,3,1,22.0,0,0,7.725,2
956,0,1,0,13.0,2,2,262.375,1
957,1,2,1,27.0,0,0,21.0,0
958,1,3,1,18.0,0,0,7.8792,2
959,0,1,0,47.0,0,0,42.4,0
960,0,1,0,31.0,0,0,28.5375,1
961,1,1,1,60.0,1,4,263.0,0
962,1,3,1,24.0,0,0,7.75,2
963,0,3,0,21.0,0,0,7.8958,0
964,1,3,1,29.0,0,0,7.925,0
965,0,1,0,28.5,0,0,27.7208,1
966,1,1,1,35.0,0,0,211.5,1
967,0,1,0,32.5,0,0,211.5,1
968,0,3,0,27.0,0,0,8.05,0
969,1,1,1,55.0,2,0,25.7,0
970,0,2,0,30.0,0,0,13.0,0
971,1,3,1,24.0,0,0,7.75,2
972,0,3,0,6.0,1,1,15.2458,1
973,0,1,0,67.0,1,0,221.7792,0
974,0,1,0,49.0,0,0,26.0,0
975,0,3,0,27.0,0,0,7.8958,0
976,0,2,0,27.0,0,0,10.7083,2
977,0,3,0,27.0,1,0,14.4542,1
978,1,3,1,27.0,0,0,7.8792,2
979,1,3,1,18.0,0,0,8.05,0
980,1,3,1,27.0,0,0,7.75,2
981,0,2,0,2.0,1,1,23.0,0
982,1,3,1,22.0,1,0,13.9,0
983,0,3,0,27.0,0,0,7.775,0
984,1,1,1,27.0,1,2,52.0,0
985,0,3,0,27.0,0,0,8.05,0
986,0,1,0,25.0,0,0,26.0,1
987,0,3,0,25.0,0,0,7.7958,0
988,1,1,1,76.0,1,0,78.85,0
989,0,3,0,29.0,0,0,7.925,0
990,1,3,1,20.0,0,0,7.8542,0
991,0,3,0,33.0,0,0,8.05,0
992,1,1,1,43.0,1,0,55.4417,1
993,0,2,0,27.0,1,0,26.0,0
994,0,3,0,27.0,0,0,7.75,2
995,0,3,0,26.0,0,0,7.775,0
996,1,3,1,16.0,1,1,8.5167,1
997,0,3,0,28.0,0,0,22.525,0
998,0,3,0,21.0,0,0,7.8208,2
999,0,3,0,27.0,0,0,7.75,2
1000,0,3,0,27.0,0,0,8.7125,0
1001,0,2,0,18.5,0,0,13.0,0
1002,0,2,0,41.0,0,0,15.0458,1
1003,1,3,1,27.0,0,0,7.7792,2
1004,1,1,1,36.0,0,0,31.6792,1
1005,1,3,1,18.5,0,0,7.2833,2
1006,1,1,1,63.0,1,0,221.7792,0
1007,0,3,0,18.0,1,0,14.4542,1
1008,0,3,0,27.0,0,0,6.4375,1
1009,1,3,1,1.0,1,1,16.7,0
1010,0,1,0,36.0,0,0,75.2417,1
1011,1,2,1,29.0,1,0,26.0,0
1012,1,2,1,12.0,0,0,15.75,0
1013,0,3,0,27.0,1,0,7.75,2
1014,1,1,1,35.0,1,0,57.75,1
1015,0,3,0,28.0,0,0,7.25,0
1016,0,3,0,27.0,0,0,7.75,2
1017,1,3,1,17.0,0,1,16.1,0
1018,0,3,0,22.0,0,0,7.7958,0
1019,1,3,1,27.0,2,0,23.25,2
1020,0,2,0,42.0,0,0,13.0,0
1021,0,3,0,24.0,0,0,8.05,0
1022,0,3,0,32.0,0,0,8.05,0
1023,0,1,0,53.0,0,0,28.5,1
1024,1,3,1,27.0,0,4,25.4667,0
1025,0,3,0,27.0,1,0,6.4375,1
1026,0,3,0,43.0,0,0,7.8958,0
1027,0,3,0,24.0,0,0,7.8542,0
1028,0,3,0,26.5,0,0,7.225,1
1029,0,2,0,26.0,0,0,13.0,0
1030,1,3,1,23.0,0,0,8.05,0
1031,0,3,0,40.0,1,6,46.9,0
1032,1,3,1,10.0,5,2,46.9,0
1033,1,1,1,33.0,0,0,151.55,0
1034,0,1,0,61.0,1,3,262.375,1
1035,0,2,0,28.0,0,0,26.0,0
1036,0,1,0,42.0,0,0,26.55,0
1037,0,3,0,31.0,3,0,18.0,0
1038,0,1,0,27.0,0,0,51.8625,0
1039,0,3,0,22.0,0,0,8.05,0
1040,0,1,0,27.0,0,0,26.55,0
1041,0,2,0,30.0,1,1,26.0,0
1042,1,1,1,23.0,0,1,83.1583,1
1043,0,3,0,27.0,0,0,7.8958,1
1044,0,3,0,60.5,0,0,14.4542,0
1045,1,3,1,36.0,0,2,12.1833,0
1046,0,3,0,13.0,4,2,31.3875,0
1047,0,3,0,24.0,0,0,7.55,0
1048,1,1,1,29.0,0,0,221.7792,0
1049,1,3,1,23.0,0,0,7.8542,0
1050,0,1,0,42.0,0,0,26.55,0
1051,1,3,1,26.0,0,2,13.775,0
1052,1,3,1,27.0,0,0,7.7333,2
1053,0,3,0,7.0,1,1,15.2458,1
1054,1,2,1,26.0,0,0,13.5,0
1055,0,3,0,27.0,0,0,7.0,0
1056,0,2,0,41.0,0,0,13.0,0
1057,1,3,1,26.0,1,1,22.025,0
1058,0,1,0,48.0,0,0,50.4958,1
1059,0,3,0,18.0,2,2,34.375,0
1060,1,1,1,27.0,0,0,27.7208,1
1061,1,3,1,22.0,0,0,8.9625,0
1062,0,3,0,27.0,0,0,7.55,0
1063,0,3,0,27.0,0,0,7.225,1
1064,0,3,0,23.0,1,0,13.9,0
1065,0,3,0,27.0,0,0,7.2292,1
1066,0,3,0,40.0,1,5,31.3875,0
1067,1,2,1,15.0,0,2,39.0,0
1068,1,2,1,20.0,0,0,36.75,0
1069,0,1,0,54.0,1,0,55.4417,1
1070,1,2,1,36.0,0,3,39.0,0
1071,1,1,1,64.0,0,2,83.1583,1
1072,0,2,0,30.0,0,0,13.0,0
1073,0,1,0,37.0,1,1,83.1583,1
1074,1,1,1,18.0,1,0,53.1,0
1075,0,3,0,27.0,0,0,7.75,2
1076,1,1,1,27.0,1,1,247.5208,1
1077,0,2,0,40.0,0,0,16.0,0
1078,1,2,1,21.0,0,1,21.0,0
1079,0,3,0,17.0,2,0,8.05,0
1080,1,3,1,27.0,8,2,69.55,0
1081,0,2,0,40.0,0,0,13.0,0
1082,0,2,0,34.0,1,0,26.0,0
1083,0,1,0,27.0,0,0,26.0,0
1084,0,3,0,11.5,1,1,14.5,0
1085,0,2,0,61.0,0,0,12.35,2
1086,0,2,0,8.0,0,2,32.5,0
1087,0,3,0,33.0,0,0,7.8542,0
1088,0,1,0,6.0,0,2,134.5,1
1089,1,3,1,18.0,0,0,7.775,0
1090,0,2,0,23.0,0,0,10.5,0
1091,1,3,1,27.0,0,0,8.1125,0
1092,1,3,1,27.0,0,0,15.5,2
1093,0,3,0,0.33,0,2,14.4,0
1094,0,1,0,47.0,1,0,227.525,1
1095,1,2,1,8.0,1,1,26.0,0
1096,0,2,0,25.0,0,0,10.5,0
1097,0,1,0,27.0,0,0,25.7417,1
1098,1,3,1,35.0,0,0,7.75,2
1099,0,2,0,24.0,0,0,10.5,0
1100,1,1,1,33.0,0,0,27.7208,1
1101,0,3,0,25.0,0,0,7.8958,0
1102,0,3,0,32.0,0,0,22.525,0
1103,0,3,0,27.0,0,0,7.05,0
1104,0,2,0,17.0,0,0,73.5,0
1105,1,2,1,60.0,1,0,26.0,0
1106,1,3,1,38.0,4,2,7.775,0
1107,0,1,0,42.0,0,0,42.5,0
1108,1,3,1,27.0,0,0,7.8792,2
